card_slug,card_display_name,card_card_name,card_issuer,card_annual_fee,card_status,card_open_date,card_open_month,card_open_day,card_source_url,card_notes,benefit_name,benefit_normalized_name,benefit_cycle_type,benefit_unit,benefit_default_amount_total,benefit_amount_overrides,benefit_default_deadline_rule,benefit_default_period_rule,benefit_active,benefit_notes
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,active,2024-03-01,3,1,,,$600 Hotel Credit,Hotel Credit,semiannual,usd_credit,300,,,,TRUE,prepaid Fine Hotels + Resorts or The Hotel Collection bookings
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,active,2024-03-01,3,1,,,$400 Resy Credit,Resy Credit,quarterly,usd_credit,100,,,,TRUE,up to $100 quarterly
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,active,2024-03-01,3,1,,,$300 Digital Entertainment Credit,Digital Entertainment Credit,monthly,usd_credit,25,,,,TRUE,$25 monthly
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,active,2024-03-01,3,1,,,$300 lululemon Credit,lululemon Credit,quarterly,usd_credit,75,,,,TRUE,$75 quarterly
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,active,2024-03-01,3,1,,,$155 Walmart+ Credit,Walmart+ Credit,monthly,usd_credit,12.95,,,,TRUE,$12.95 monthly
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,active,2024-03-01,3,1,,,$200 Oura Ring Credit,Oura Ring Credit,annual,usd_credit,200,,,,TRUE,
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,active,2024-03-01,3,1,,,$300 Equinox Credit,Equinox Credit,annual,usd_credit,300,,,,TRUE,
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,active,2024-03-01,3,1,,,$200 Uber Cash,Uber Cash,monthly,usd_credit,15,"{""11"": 25.0, ""12"": 25.0}",,,TRUE,$15 monthly plus $20 bonus in December
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,active,2024-03-01,3,1,,,$120 Uber One Credit,Uber One Credit,annual,usd_credit,120,,,,TRUE,
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,active,2024-03-01,3,1,,,$200 Airline Fee Credit,Airline Fee Credit,annual,usd_credit,200,,,,TRUE,incidental fees on one selected qualifying airline
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,active,2024-03-01,3,1,,,$219 CLEAR+ Credit,CLEAR Plus Credit,annual,usd_credit,219,,,,TRUE,
