card_slug,card_display_name,card_card_name,card_issuer,card_annual_fee,card_status,card_open_date,card_open_month,card_open_day,card_source_url,card_image_url,card_notes,benefit_name,benefit_normalized_name,benefit_category,benefit_cycle_type,benefit_unit,benefit_default_amount_total,benefit_amount_overrides,benefit_default_deadline_rule,benefit_default_period_rule,benefit_active,benefit_notes
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,,,,,https://www.uscreditcardguide.com/amex-platinum/,https://www.uscreditcardguide.com/wp-content/uploads/NUS000000237_480x304_straight_withname.png.webp,,$600 Hotel Credit,Hotel Credit,travel,semiannual,usd_credit,300,,,,TRUE,prepaid Fine Hotels + Resorts or The Hotel Collection bookings
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,,,,,https://www.uscreditcardguide.com/amex-platinum/,https://www.uscreditcardguide.com/wp-content/uploads/NUS000000237_480x304_straight_withname.png.webp,,$400 Resy Credit,Resy Credit,dining,quarterly,usd_credit,100,,,,TRUE,up to $100 quarterly
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,,,,,https://www.uscreditcardguide.com/amex-platinum/,https://www.uscreditcardguide.com/wp-content/uploads/NUS000000237_480x304_straight_withname.png.webp,,$300 Digital Entertainment Credit,Digital Entertainment Credit,others,monthly,usd_credit,25,,,,TRUE,$25 monthly
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,,,,,https://www.uscreditcardguide.com/amex-platinum/,https://www.uscreditcardguide.com/wp-content/uploads/NUS000000237_480x304_straight_withname.png.webp,,$300 lululemon Credit,lululemon Credit,others,quarterly,usd_credit,75,,,,TRUE,$75 quarterly
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,,,,,https://www.uscreditcardguide.com/amex-platinum/,https://www.uscreditcardguide.com/wp-content/uploads/NUS000000237_480x304_straight_withname.png.webp,,$155 Walmart+ Credit,Walmart+ Credit,others,monthly,usd_credit,12.95,,,,TRUE,$12.95 monthly
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,,,,,https://www.uscreditcardguide.com/amex-platinum/,https://www.uscreditcardguide.com/wp-content/uploads/NUS000000237_480x304_straight_withname.png.webp,,$200 Oura Ring Credit,Oura Ring Credit,others,annual,usd_credit,200,,,,TRUE,
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,,,,,https://www.uscreditcardguide.com/amex-platinum/,https://www.uscreditcardguide.com/wp-content/uploads/NUS000000237_480x304_straight_withname.png.webp,,$300 Equinox Credit,Equinox Credit,others,annual,usd_credit,300,,,,TRUE,
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,,,,,https://www.uscreditcardguide.com/amex-platinum/,https://www.uscreditcardguide.com/wp-content/uploads/NUS000000237_480x304_straight_withname.png.webp,,$200 Uber Cash,Uber Cash,travel,monthly,usd_credit,15,"{""12"": 35.0}",,,TRUE,$15 monthly plus $20 bonus in December
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,,,,,https://www.uscreditcardguide.com/amex-platinum/,https://www.uscreditcardguide.com/wp-content/uploads/NUS000000237_480x304_straight_withname.png.webp,,$120 Uber One Credit,Uber One Credit,others,annual,usd_credit,120,,,,TRUE,
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,,,,,https://www.uscreditcardguide.com/amex-platinum/,https://www.uscreditcardguide.com/wp-content/uploads/NUS000000237_480x304_straight_withname.png.webp,,$200 Airline Fee Credit,Airline Fee Credit,travel,annual,usd_credit,200,,,,TRUE,incidental fees on one selected qualifying airline
